snapshot,season,week,team,name,pos,status,practice,source
2026-09-02,2026,,DAL,Marist Liufau,LB,IR,,sleeper
2026-09-02,2026,,KC,Ashton Gillotte,DE,Questionable,,sleeper
2026-09-02,2026,,NO,Jordyn Tyson,WR,IR,,sleeper
2026-09-02,2026,,MIN,Caleb Tiernan,OT,Questionable,,sleeper
2026-09-02,2026,,CAR,Jaelan Phillips,LB,Questionable,,sleeper
2026-09-02,2026,,LAR,Daniel Rickert,DE,IR,,sleeper
2026-09-02,2026,,JAX,Keivie Rose,DL,IR,,sleeper
2026-09-02,2026,,HOU,Jaylin Noel,WR,Questionable,,sleeper
2026-09-02,2026,,PIT,DeShon Elliott,DB,IR,,sleeper
2026-09-02,2026,,KC,Matt Waletzko,OL,IR,,sleeper
2026-09-02,2026,,PIT,Ben Skowronek,WR,Questionable,,sleeper
2026-09-02,2026,,DEN,Frank Crum,OT,IR,,sleeper
2026-09-02,2026,,MIN,Jamal Adams,SS,IR,,sleeper
2026-09-02,2026,,LV,Chigozie Anusiem,CB,IR,,sleeper
2026-09-02,2026,,CHI,Kyle Monangai,RB,Questionable,,sleeper
2026-09-02,2026,,LAR,Matthew Caldwell,QB,IR,,sleeper
2026-09-02,2026,,LAC,Scott Matlock,DT,IR,,sleeper
2026-09-02,2026,,SF,Upton Stout,CB,Questionable,,sleeper
2026-09-02,2026,,WAS,Jer'Zhan Newton,DL,IR,,sleeper
2026-09-02,2026,,CHI,Jonathan Garvin,LB,IR,,sleeper
2026-09-02,2026,,TEN,Milo Eifler,LB,IR,,sleeper
2026-09-02,2026,,CAR,Jonathon Brooks,RB,Questionable,,sleeper
2026-09-02,2026,,MIN,Kenny Dyson,LB,IR,,sleeper
2026-09-02,2026,,SEA,Tory Horton,WR,Questionable,,sleeper
2026-09-02,2026,,MIN,Tyreek Chappell,CB,IR,,sleeper
2026-09-02,2026,,PIT,Jalen Ramsey,CB,Questionable,,sleeper
2026-09-02,2026,,DET,Damone Clark,LB,IR,,sleeper
2026-09-02,2026,,CHI,Kyler Gordon,DB,PUP,,sleeper
2026-09-02,2026,,ATL,Darren Hall,CB,IR,,sleeper
2026-09-02,2026,,IND,Sauce Gardner,DB,Questionable,,sleeper
2026-09-02,2026,,WAS,Nick Allegretti,G,Questionable,,sleeper
2026-09-02,2026,,WAS,Jacoby Jones,WR,IR,,sleeper
2026-09-02,2026,,PIT,Cole Burgess,WR,IR,,sleeper
2026-09-02,2026,,NE,Harold Landry,LB,PUP,,sleeper
2026-09-02,2026,,SF,Christian Kirk,WR,IR,,sleeper
2026-09-02,2026,,HOU,Dylan Horton,DL,IR,,sleeper
2026-09-02,2026,,NYG,Jarrick Bernard-Converse,CB,IR,,sleeper
2026-09-02,2026,,TB,David Sills,WR,IR,,sleeper
2026-09-02,2026,,DAL,Matt Hennessy,OL,IR,,sleeper
2026-09-02,2026,,PIT,Daequan Hardy,CB,IR,,sleeper
2026-09-02,2026,,NO,Barry Wesley,OL,IR,,sleeper
2026-09-02,2026,,IND,Carson Towt,TE,IR,,sleeper
2026-09-02,2026,,TB,Xavier Williams,DB,IR,,sleeper
2026-09-02,2026,,NO,Kendre Miller,RB,Questionable,,sleeper
2026-09-02,2026,,CAR,Derrick Brown,DT,Questionable,,sleeper
2026-09-02,2026,,NO,Jaylan Ford,LB,IR,,sleeper
2026-09-02,2026,,PHI,Byron Young,DL,Questionable,,sleeper
2026-09-02,2026,,HOU,Graham Mertz,QB,IR,,sleeper
2026-09-02,2026,,SF,Keion White,DL,Questionable,,sleeper
2026-09-02,2026,,CHI,Noah Sewell,LB,PUP,,sleeper
2026-09-02,2026,,NYG,Korie Black,CB,IR,,sleeper
2026-09-02,2026,,MIN,Jacob Roberts,LB,IR,,sleeper
2026-09-02,2026,,CLE,Dillon Gabriel,QB,IR,,sleeper
2026-09-02,2026,,NO,Ty Chandler,RB,IR,,sleeper
2026-09-02,2026,,CLE,Damarri Mathis,DB,IR,,sleeper
2026-09-02,2026,,CAR,Xavier Legette,WR,Questionable,,sleeper
2026-09-02,2026,,CHI,Jaylon Johnson,DB,Questionable,,sleeper
2026-09-02,2026,,BUF,Keon Coleman,WR,Questionable,,sleeper
2026-09-02,2026,,LV,Justin Shorter,WR,IR,,sleeper
2026-09-02,2026,,TEN,Keldric Faulk,DL,Questionable,,sleeper
2026-09-02,2026,,SEA,Brandon Pili,DT,Questionable,,sleeper
2026-09-02,2026,,PHI,Ja'Quinden Jackson,RB,IR,,sleeper
2026-09-02,2026,,HOU,Jayden Higgins,WR,IR,,sleeper
2026-09-02,2026,,SF,Gracen Halton,DT,Questionable,,sleeper
2026-09-02,2026,,BUF,Tyrell Shavers,WR,PUP,,sleeper
2026-09-02,2026,,LAR,Keir Thomas,DE,IR,,sleeper
2026-09-02,2026,,DET,Mekhi Wingo,DT,Questionable,,sleeper
2026-09-02,2026,,DEN,Michael Woods,WR,Questionable,,sleeper
2026-09-02,2026,,NO,Dillon Radunz,OL,IR,,sleeper
2026-09-02,2026,,SF,Victor Dimukeje,LB,IR,,sleeper
2026-09-02,2026,,NYG,Paulson Adebo,CB,Questionable,,sleeper
2026-09-02,2026,,IND,D.J. Montgomery,WR,IR,,sleeper
2026-09-02,2026,,CLE,Isaiah Bond,WR,Questionable,,sleeper
2026-09-02,2026,,WAS,K'Lavon Chaisson,LB,Questionable,,sleeper
2026-09-02,2026,,CLE,Jeremiah Owusu-Koramoah,LB,PUP,,sleeper
2026-09-02,2026,,CIN,Myles Murphy,DL,Questionable,,sleeper
2026-09-02,2026,,ATL,Keshawn Banks,LB,IR,,sleeper
2026-09-02,2026,,NYJ,Tre Brown,CB,IR,,sleeper
2026-09-02,2026,,IND,Josh Downs,WR,Questionable,,sleeper
2026-09-02,2026,,TEN,Kalel Mullings,RB,Questionable,,sleeper
2026-09-02,2026,,BUF,Ty Johnson,RB,Questionable,,sleeper
2026-09-02,2026,,NYJ,Connor Hulstein,TE,IR,,sleeper
2026-09-02,2026,,DET,Jimmy Rolder,LB,Questionable,,sleeper
2026-09-02,2026,,JAX,LeQuint Allen,RB,Questionable,,sleeper
2026-09-02,2026,,DET,Derrick Moore,DE,Questionable,,sleeper
2026-09-02,2026,,BAL,Zay Flowers,WR,Questionable,,sleeper
2026-09-02,2026,,NE,Eric Butler,DB,IR,,sleeper
2026-09-02,2026,,CHI,Jaylon Jones,CB,IR,,sleeper
2026-09-02,2026,,GB,Marlon Jones,CB,IR,,sleeper
2026-09-02,2026,,WAS,Quentin Moore,TE,IR,,sleeper
2026-09-02,2026,,NO,Lorenzo Styles,DB,IR,,sleeper
2026-09-02,2026,,TEN,Wan'Dale Robinson,WR,Questionable,,sleeper
2026-09-02,2026,,CHI,Hayden Large,TE,IR,,sleeper
